a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
1.0,0.2503652302896943,-0.1338258447578277,-0.00855169517813727,-0.03377616026738995,-0.23228648316016043,0.030646834114287425,0.2750159510068315,0.4254612640817523,0.6864720696714647,0.10915166812925238,0.16865769460456026,0.18614013396856394,0.4005204946899305,0.11860915484313687,0.40893041005476527
0.2503652302896943,1.0,-0.276394996411391,0.3086066999241838,0.2598993562959053,0.4041666666666666,-0.3560641731821048,0.37034855840308895,0.010762647825142274,0.35385689600635695,0.11183438222015267,0.29767027889379355,-0.334754545989455,-0.09522267331341504,0.4082482904638631,-0.08954909008091415
-0.1338258447578277,-0.276394996411391,1.0,-0.20672455764868072,-0.45642256345945204,0.1254319158464113,-0.6467555047518571,0.23943661971830985,0.17389249973671161,-0.543557306504609,0.5530100413375021,0.12171612389003708,-0.307170741989369,-0.7741935483870966,-0.18750000000000006,0.39413171126571717
-0.00855169517813727,0.3086066999241838,-0.20672455764868072,1.0,0.5022472023339226,-5.448875891937351e-17,-0.42874646285627194,0.21348314606741572,-0.4330127018922193,-0.0968646186304977,-0.09028938981432691,-0.4154933675217931,-0.5459219925207338,-0.23570226039551576,-0.26813549263861675,-0.09318019529110826
-0.03377616026738995,0.2598993562959053,-0.45642256345945204,0.5022472023339226,1.0,0.627930915804471,0.2561855970119207,-0.48144374486558505,-0.24320443121533383,-0.5481589823313893,0.030358837035945812,-0.11941760079771195,0.42563396126987213,0.23124864503144002,0.4345240946267408,-0.369754986443726
-0.23228648316016043,0.4041666666666666,0.1254319158464113,-5.448875891937351e-17,0.627930915804471,1.0,0.1793794117323502,-0.0750322473484129,0.213922405939153,-0.4010236494362312,0.3267307196974463,0.04778184825674963,-0.47137535314853635,-0.2400993986886732,-0.19634415437602923,-0.7475580814267095
0.030646834114287425,-0.3560641731821048,-0.6467555047518571,-0.42874646285627194,0.2561855970119207,0.1793794117323502,1.0,-0.48454371185234885,0.13354499272789208,0.14630143399516324,0.39155542374914687,-0.3658584816898435,-0.07995026863335389,0.5573704017131537,0.4522670168666454,-0.511681719253465
0.2750159510068315,0.37034855840308895,0.23943661971830985,0.21348314606741572,-0.48144374486558505,-0.0750322473484129,-0.48454371185234885,1.0,0.664204404527301,0.38551458266721855,-0.30832740629675504,-0.29413447012393257,-0.35578403348241,-0.07537783614444099,-0.04166666666666665,0.610170215847752
0.4254612640817523,0.010762647825142274,0.17389249973671161,-0.4330127018922193,-0.24320443121533383,0.213922405939153,0.13354499272789208,0.664204404527301,1.0,-0.027461751819054435,-0.664932575122676,0.3062950067011606,-0.36273812505500586,0.3673133465435687,-0.10072787050317261,-0.1767766952966369
0.6864720696714647,0.35385689600635695,-0.543557306504609,-0.0968646186304977,-0.5481589823313893,-0.4010236494362312,0.14630143399516324,0.38551458266721855,-0.027461751819054435,1.0,0.8730378697119727,0.6154574548966637,-0.20660686645915377,0.5080005080007621,0.6622661785325218,7.690649175465919e-17
0.10915166812925238,0.11183438222015267,0.5530100413375021,-0.09028938981432691,0.030358837035945812,0.3267307196974463,0.39155542374914687,-0.30832740629675504,-0.664932575122676,0.8730378697119727,1.0,-0.10748615458500282,-0.09053574604251857,-0.10243323564400443,0.41836424899687696,0.4178145108983667
0.16865769460456026,0.29767027889379355,0.12171612389003708,-0.4154933675217931,-0.11941760079771195,0.04778184825674963,-0.3658584816898435,-0.29413447012393257,0.3062950067011606,0.6154574548966637,-0.10748615458500282,1.0,-0.23836564731139812,-0.23702273156998857,-0.4685446085264576,0.736635107608724
0.18614013396856394,-0.334754545989455,-0.307170741989369,-0.5459219925207338,0.42563396126987213,-0.47137535314853635,-0.07995026863335389,-0.35578403348241,-0.36273812505500586,-0.20660686645915377,-0.09053574604251857,-0.23836564731139812,1.0,0.2163856337073152,0.14096426466677103,0.2424890529798264
0.4005204946899305,-0.09522267331341504,-0.7741935483870966,-0.23570226039551576,0.23124864503144002,-0.2400993986886732,0.5573704017131537,-0.07537783614444099,0.3673133465435687,0.5080005080007621,-0.10243323564400443,-0.23702273156998857,0.2163856337073152,1.0,0.08570554069710087,-0.24771684715343115
0.11860915484313687,0.4082482904638631,-0.18750000000000006,-0.26813549263861675,0.4345240946267408,-0.19634415437602923,0.4522670168666454,-0.04166666666666665,-0.10072787050317261,0.6622661785325218,0.41836424899687696,-0.4685446085264576,0.14096426466677103,0.08570554069710087,1.0,-0.422288280162599
0.40893041005476527,-0.08954909008091415,0.39413171126571717,-0.09318019529110826,-0.369754986443726,-0.7475580814267095,-0.511681719253465,0.610170215847752,-0.1767766952966369,7.690649175465919e-17,0.4178145108983667,0.736635107608724,0.2424890529798264,-0.24771684715343115,-0.422288280162599,1.0
